date;store;country;rank;rating;ratings;reviews
2026-08-03;ios;kz;3;-;-;-
2026-08-03;ios;ua;4;-;-;-
2026-08-03;ios;by;11;-;-;-
2026-08-03;ios;us;19;-;-;-
2026-08-03;android;ru;5;-;-;-
2026-08-03;android;kz;1;-;-;-
2026-08-03;android;ua;2;-;-;-
2026-08-03;android;by;2;-;-;-
2026-08-03;android;us;1;-;-;-
2026-08-04;ios;kz;3;-;-;-
2026-08-04;ios;ua;4;-;-;-
2026-08-04;ios;by;11;-;-;-
2026-08-04;ios;us;21;-;-;-
2026-08-04;android;ru;4;-;-;-
2026-08-04;android;kz;1;-;-;-
2026-08-04;android;ua;2;-;-;-
2026-08-04;android;by;1;-;-;-
2026-08-04;android;us;1;-;-;-
2026-08-06;ios;kz;3;5.0;8;-
2026-08-06;ios;ua;4;-;0;-
2026-08-06;ios;by;4;-;0;-
2026-08-06;ios;us;4;5.0;3;-
2026-08-06;android;ru;5;4.0;15;6
2026-08-06;android;kz;2;-;-;-
2026-08-06;android;ua;2;-;-;-
2026-08-06;android;by;2;-;-;-
2026-08-06;android;us;5;-;-;-
